city,temp,humid,wind,clouds,lat,lng,maxtemp,country,local_date_time
svetlogorsk,42.15,82,6.2,4,52.6333,29.7333,42.15,BY,2021-05-11 01:17:15
maridi,65.77,98,4.18,100,4.9158,29.4742,65.77,SS,2021-05-11 00:17:15
sembakung,80.6,94,2.3,75,3.8167,117.25,80.6,ID,2021-05-11 06:17:15
asau,45,65,1.99,0,46.4333,26.4,45,RO,2021-05-11 01:12:47
turukhansk,41.23,71,5.39,85,65.8167,87.9833,41.23,RU,2021-05-11 05:13:23
salair,50,55,11.45,100,54.2312,85.7972,50,RU,2021-05-11 05:17:15
boyolangu,82.49,76,9.35,48,-8.1181,111.8935,82.49,ID,2021-05-11 05:17:16
gewane,82.78,44,2.8,100,10.1664,40.6453,82.78,ET,2021-05-11 01:17:16
lookan,83.19,78,5.41,99,5.037,120.1027,83.19,PH,2021-05-11 06:17:16
tiznit,54.55,85,4.41,33,29.5833,-9.5,54.55,MA,2021-05-10 22:17:16
bredasdorp,55.4,94,4.61,0,-34.5322,20.0403,55.4,ZA,2021-05-11 00:17:17
dhar,77,38,9.22,0,22.6,75.3,77,IN,2021-05-11 03:47:17
roald,55.4,54,11.5,40,62.5833,6.1333,55.4,NO,2021-05-11 00:17:17
bor,46.2,100,8.95,90,56.3567,44.0669,46.4,RU,2021-05-11 01:17:17
hofn,33.06,59,14.12,0,64.2539,-15.2082,33.06,IS,2021-05-10 22:17:18
amapa,71.35,99,1.52,100,1,-52,71.35,BR,2021-05-10 19:17:18
khasan,52.99,69,7.9,2,42.4308,130.6434,52.99,RU,2021-05-11 08:17:18
santa cruz,72.16,64,4.36,82,-17.8,-63.1667,72.16,BO,2021-05-10 18:14:23
young,54,82,1.99,100,-32.6833,-57.6333,54,UY,2021-05-10 19:17:18
provideniya,37.4,81,15.66,90,64.3833,-173.3,37.4,RU,2021-05-11 10:12:37
meadow lake,74.71,7,20.71,75,34.8014,-106.5436,75.2,US,2021-05-10 16:17:19
never,52,85,1.01,100,46.9896,3.159,52,FR,2021-05-11 00:17:19
hasaki,64.08,59,8.05,75,35.7333,140.8333,64.99,JP,2021-05-11 07:17:19
gat,66.72,100,1.01,0,31.61,34.7642,70,IL,2021-05-11 01:17:19
ugleuralskiy,55.99,41,1.39,100,58.9534,57.5846,55.99,RU,2021-05-11 03:17:20
pindi gheb,79.84,45,11.61,62,33.2402,72.2661,79.84,PK,2021-05-11 03:17:20
koshurnikovo,48.72,52,6.64,0,54.1667,93.3,48.72,RU,2021-05-11 05:17:20
saint george,79.02,7,16.11,1,37.1041,-113.5841,80.6,US,2021-05-10 16:13:41
asyut,77,31,11.5,0,27.181,31.1837,77,EG,2021-05-11 00:13:48
lata,51.33,93,1.99,19,40.1629,-8.3327,57,PT,2021-05-10 23:13:16
northampton,46.58,63,5.46,8,40.8754,-75.2499,48.99,US,2021-05-10 18:16:12
iqaluit,28.2,80,13.8,90,63.7506,-68.5145,28.4,CA,2021-05-10 18:13:20
whitehorse,54.1,35,17.27,75,60.7161,-135.0538,55.4,CA,2021-05-10 15:17:20
marrakesh,60.8,63,10.36,75,31.6315,-8.0083,60.8,MA,2021-05-10 22:17:21
hami,77.23,22,15.79,100,42.8,93.45,77.23,CN,2021-05-11 06:13:51
goderich,39.2,75,8.48,74,43.7501,-81.7165,39.2,CA,2021-05-10 18:16:06
chiang khong,81.39,83,1.41,40,20.2613,100.4046,84.99,TH,2021-05-11 05:17:21
jinchang,74.26,18,2.89,9,38.4953,102.1739,74.26,CN,2021-05-11 06:17:21
burns lake,57.2,28,4.61,60,54.2331,-125.7533,57.2,CA,2021-05-10 15:15:11
jackson,71.51,31,13.8,1,42.4165,-122.8345,73.4,US,2021-05-10 15:17:21
soe,76.32,52,9.78,64,-9.8607,124.284,76.32,ID,2021-05-11 06:17:22
itoigawa,59.4,74,4.7,91,37.0333,137.85,59.4,JP,2021-05-11 07:17:22
